,,,,,,Who do I contact for help?,,
Category,Building,Room,Status,Issue Notes,Features,Support Group,Phone Number,Email Address
Huddlecam,ABROMS-ENGEL INSTITUTE,AEIVA240,,,Zoom,CAS IT,(205) 975-4500,
Huddlecam,ABROMS-ENGEL INSTITUTE,AEIVA250A,,,Zoom,CAS IT,(205) 975-4500,
Huddlecam,ALUMNI HOUSE,ALUM103,,,Zoom,AskIT,(205) 996-9999,
Huddlecam,ALYS ROBINSON STEPHENS CENTER,ASC273,,,Zoom,CAS IT,(205) 975-4500,
Large Standard,BEVILL BIOMEDICAL RESEARCH BUILDING,BBRB170A,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,CAMPBELL HALL,CH145,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,CAMPBELL HALL,CH157,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Medium Standard,CAMPBELL HALL,CH158,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,CAMPBELL HALL,CH204,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,CAMPBELL HALL,CH205,,,Lecture Capture,AskIT,(205) 996-9999,
Large Standard,CAMPBELL HALL,CH301,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,CAMPBELL HALL,CH396,,,Lecture Capture,AskIT,(205) 996-9999,
Large Standard,CAMPBELL HALL,CH405,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,CAMPBELL HALL,CH435,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Medium Standard,CAMPBELL HALL,CH443,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Large Standard,CHEMISTRY BUILDING,CHEM101,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,CHEMISTRY BUILDING,CHEM320,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSB101,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSB102,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSB103,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Huddlecam,COLLAT SCHOOL OF BUSINESS,CSB109,,,Zoom,Collat School of Business IT,(205) 934-6699,
Huddlecam,COLLAT SCHOOL OF BUSINESS,CSB201,,,Zoom,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSB202,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSB203,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSB301,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSB302,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSB303,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSB305,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSB392,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Huddlecam,COLLAT SCHOOL OF BUSINESS,CSBL02A,,,Zoom,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSBL03,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSBL04A,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSBL04B,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Collat School of Business,COLLAT SCHOOL OF BUSINESS,CSBL10,,,Lecture Capture,Collat School of Business IT,(205) 934-6699,
Large Standard,CUDWORTH BUILDING,CEC102A,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Medium Standard,EDUCATION & ENGINEERING,EEC105,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,EDUCATION & ENGINEERING,EEC108,,,Lecture Capture,"School of Education, Chelsea Eytel Slovensky",(205) 975-3754,cneytel@uab.edu
Medium Standard,EDUCATION & ENGINEERING,EEC109,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,EDUCATION & ENGINEERING,EEC114,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,EDUCATION & ENGINEERING,EEC116,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,EDUCATION & ENGINEERING,EEC118,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,EDUCATION & ENGINEERING,EEC154,,,"Lecture Capture, Wireless Mics",Engineering,(205) 934-8862,
Medium Standard,EDUCATION & ENGINEERING,EEC155,,,"Lecture Capture, Wireless Mics",Engineering,(205) 934-8862,
Small Standard,EDUCATION & ENGINEERING,EEC158,,,"Lecture Capture, Wireless Mics",Engineering,(205) 934-8862,
Small Standard,EDUCATION & ENGINEERING,EEC267,,,"Lecture Capture, Wireless Mics",Engineering,(205) 934-8862,
Small Standard,EDUCATION & ENGINEERING,EEC315,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,EDUCATION & ENGINEERING,EEC354,,,"Lecture Capture, Wireless Mics",Engineering,(205) 934-8862,
Medium Standard,EDUCATION & ENGINEERING,EEC355,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Large Standard,HANSELL/HULSEY CENTER,HC108,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,HANSELL/HULSEY CENTER,HC307,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Huddlecam,HANSELL/HULSEY CENTER,HC308,,,Zoom,CAS IT,(205) 975-4500,
Small Standard,HENRY PETERS BLD,HPB202,,,Lecture Capture,"School of Optometry IT, Greg Baily, Joey Jones","(205) 934-2834
(205) 934-2833",GRP-so-cadre@uab365.onmicrosoft.com
Small Standard,HENRY PETERS BLD,HPB203,,,Lecture Capture,"School of Optometry IT, Greg Baily, Joey Jones","(205) 934-2834
(205) 934-2833",GRP-so-cadre@uab365.onmicrosoft.com
Small Standard,HENRY PETERS BLD,HPB204,,,Lecture Capture,"School of Optometry IT, Greg Baily, Joey Jones","(205) 934-2834
(205) 934-2833",GRP-so-cadre@uab365.onmicrosoft.com
Small Standard,HENRY PETERS BLD,HPB301,,,Lecture Capture,"School of Optometry IT, Greg Baily, Joey Jones","(205) 934-2834
(205) 934-2833",GRP-so-cadre@uab365.onmicrosoft.com
Small Standard,HENRY PETERS BLD,HPB303,,,Lecture Capture,"School of Optometry IT, Greg Baily, Joey Jones","(205) 934-2834
(205) 934-2833",GRP-so-cadre@uab365.onmicrosoft.com
Large Standard,HERITAGE HALL BUILDING,HHB102,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Large Standard,HERITAGE HALL BUILDING,HHB104,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Large Standard,HERITAGE HALL BUILDING,HHB106,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Medium Standard,HERITAGE HALL BUILDING,HHB121,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,HERITAGE HALL BUILDING,HHB124,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,HERITAGE HALL BUILDING,HHB125,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,HERITAGE HALL BUILDING,HHB126,,,Lecture Capture,AskIT,(205) 996-9999,
Huddlecam,HERITAGE HALL BUILDING,HHB210,,,Zoom,"UAB TEACH, Paulette Evans",(205) 266-6778,
Small Standard,HERITAGE HALL BUILDING,HHB221,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,HERITAGE HALL BUILDING,HHB224,,,,AskIT,(205) 996-9999,
Small Standard,HERITAGE HALL BUILDING,HHB225,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,HERITAGE HALL BUILDING,HHB226,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,HERITAGE HALL BUILDING,HHB227,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,HERITAGE HALL BUILDING,HHB342,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,HERITAGE HALL BUILDING,HHB420,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,HERITAGE HALL BUILDING,HHB422,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,HERITAGE HALL BUILDING,HHB426,,,,AskIT,(205) 996-9999,
Small Standard,HERITAGE HALL BUILDING,HHB432,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,HERITAGE HALL BUILDING,HHB524,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,HERITAGE HALL BUILDING,HHB549,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,HOEHN ENGINEERING BUILDING,HOEN120,,,"Lecture Capture, Wireless Mics",Engineering,(205) 934-8862,
Small Standard,HOEHN ENGINEERING BUILDING,HOEN152,,,"Lecture Capture, Wireless Mics",Engineering,(205) 934-8862,
Small Standard,HOEHN ENGINEERING BUILDING,HOEN259,,,"Lecture Capture, Wireless Mics",Engineering,(205) 934-8862,
Huddlecam,HOEHN ENGINEERING BUILDING,HOEN260,,,Zoom,Engineering,(205) 934-8862,
Small Standard,HONORS COLLEGE,UABHH102,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,HONORS COLLEGE,UABHH133,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,HONORS COLLEGE,UABHH225,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Large Standard,HUMANITIES BUILDING,HB105,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
